1905,0,1,-2,1,61,0,0
1911,0,2,0.5,1,1335,3,3
1773,1,2,0.5,1,0,0,0
1857,1,0,1,1,0,2,2
1981,8,2,1,1,0,3,0
-23,0,3,1,1,0,0,0
1884,1,4,1,1,0,0,0
1862,1,2,1.5,1,0,1,1
1939,1,2,1.5,1,30000,4,4
1820,1,2,2.5,1,0,1,0
1989,1,2,3,1,0,0,0
1790,1,3,3,1,0,0,0
1870,1,3,3,1,0,0,0
1954,3,4,3,1,0,3,3
1998,1,3,3,2,0,2,0
2013,1,4,3,2,0,1,0
1925,1,2,-4,3,0,2,3
1984,1,4,-4,3,2,0,0
1998,1,4,-4,3,0,0,0
1780,1,-1,-3,3,0,0,0
-2000,1,1,-3,3,0,4,0
1855,1,1,-3,3,0,3,3
1994,1,1,-3,3,0,0,0
1231,1,2,-3,3,0,1,1
1924,1,2,-3,3,0,0,0
986,1,3,-3,3,0,0,0
1872,1,3,-3,3,0,0,0
1909,1,4,-3,3,0,0,0
1917,1,4,-3,3,0,0,0
1970,1,4,-3,3,0,4,3
1971,1,4,-3,3,600,2,2
1990,1,4,-3,3,0,1,0
1995,1,4,-3,3,0,0,0
447,1,1,-2.5,3,0,3,3
1871,6,1,-2.5,3,0,2,2
1922,1,2,-2.5,3,0,0,0
1065,1,3,-2.5,3,0,0,0
1960,1,4,-2.5,3,13100,4,3
1993,1,4,-2.5,3,0,0,0
1991,1,1,-2,3,0,0,0
1895,1,2,-2,3,0,2,2
543,1,3,-2,3,0,3,0
1859,1,3,-2,3,0,0,0
1890,1,3,-2,3,171,3,3
1997,8,3,-2,3,0,1,0
1959,1,4,-2,3,0,0,0
1976,1,4,-2,3,0,0,0
1978,1,4,-2,3,25,4,4
1978,1,4,-2,3,0,0,0
1983,1,4,-2,3,0,0,0
2006,1,4,-2,3,0,1,0
2007,1,4,-2,3,0,0,0
1852,1,-1,-1.5,3,0,3,3
1556,0,1,-1.5,3,0,0,0
348,1,1,-1.5,3,0,0,0
558,1,2,-1.5,3,0,0,0
1865,1,2,-1.5,3,5,1,1
1265,1,3,-1.5,3,0,0,0
1948,1,3,-1.5,3,74,2,3
1990,1,4,-1.5,3,0,0,0
1662,1,-1,-1,3,0,0,0
1878,0,1,-1,3,0,1,0
-1365,1,1,-1,3,0,3,0
1791,1,1,-1,3,0,1,0
1792,1,1,-1,3,0,3,4
799,0,2,-1,3,0,0,0
1509,1,3,-1,3,0,0,0
1946,6,3,-1,3,0,1,0
551,1,4,-1,3,4000,0,0
1257,1,4,-1,3,0,0,0
1700,1,4,-1,3,0,2,3
1841,1,4,-1,3,0,2,0
1904,1,4,-1,3,0,0,0
1938,1,4,-1,3,0,2,1
1946,1,4,-1,3,167,4,3
1963,1,4,-1,3,2,2,1
1973,1,4,-1,3,56,2,2
1975,1,4,-1,3,0,1,2
1983,1,4,-1,3,0,0,0
1990,1,4,-1,3,0,2,2
1993,1,4,-1,3,0,0,0
1993,1,4,-1,3,0,0,0
1830,1,0,-0.5,3,0,2,3
1840,1,1,-0.5,3,0,3,3
1862,1,1,-0.5,3,0,0,0
1939,1,1,-0.5,3,0,0,0
975,0,2,-0.5,3,0,0,0
1735,1,2,-0.5,3,0,2,3
1852,1,2,-0.5,3,0,1,0
1928,1,3,-0.5,3,0,0,0
1966,1,3,-0.5,3,7,1,3
1992,1,4,-0.5,3,0,1,0
2007,1,4,-0.5,3,0,0,0
2009,1,4,-0.5,3,5,2,3
855,0,-1,0,3,0,0,0
1718,0,-1,0,3,0,0,0
1836,1,-1,0,3,0,0,0
1845,1,-1,0,3,118,0,0
1722,9,-1,0,3,0,0,0
1893,1,0,0,3,0,0,0
1926,1,0,0,3,0,0,0
1935,1,0,0,3,60000,4,4
1865,0,1,0,3,0,0,0
957,1,1,0,3,0,0,0
1722,1,1,0,3,0,2,1
1828,1,1,0,3,0,0,0
1922,1,1,0,3,0,1,1
1681,8,1,0,3,0,0,0
1904,0,2,0,3,0,0,0
1332,1,2,0,3,0,0,0
1668,1,2,0,3,0,4,4
1767,1,2,0,3,0,0,0
1853,1,2,0,3,0,3,3
1915,1,2,0,3,0,0,0
1921,1,2,0,3,0,2,1
1883,6,2,0,3,0,0,0
1891,0,3,0,3,0,0,0
1068,1,3,0,3,0,4,4
1343,1,3,0,3,0,0,0
1629,1,3,0,3,0,3,3
1763,1,3,0,3,0,3,3
1863,1,3,0,3,0,0,0
1891,1,3,0,3,0,0,0
1897,1,3,0,3,0,4,4
1900,1,3,0,3,0,0,0
1904,1,3,0,3,0,0,0
1970,1,3,0,3,0,0,0
1498,1,4,0,3,0,3,3
1520,1,4,0,3,0,1,2
1586,1,4,0,3,8000,0,4
1649,1,4,0,3,0,1,0
1708,1,4,0,3,0,1,0
1711,1,4,0,3,2,1,1
1771,1,4,0,3,13486,4,4
1856,1,4,0,3,2806,3,3
1928,1,4,0,3,0,0,0
1938,1,4,0,3,0,1,0
1940,1,4,0,3,0,0,0
1941,1,4,0,3,4,4,4
1961,1,4,0,3,0,1,0
1973,1,4,0,3,15,1,0
1973,1,4,0,3,0,0,0
1977,1,4,0,3,0,1,0
1980,1,4,0,3,0,0,0
1984,1,4,0,3,0,0,0
1992,1,4,0,3,0,4,0
1993,1,4,0,3,0,0,0
1995,1,4,0,3,0,0,0
1995,1,4,0,3,0,0,0
2000,1,4,0,3,0,3,3
2003,1,4,0,3,2266,4,4
2004,1,4,0,3,0,0,0
2005,1,4,0,3,0,0,0
2006,1,4,0,3,4,1,2
2012,1,4,0,3,0,0,0
2013,1,4,0,3,10,2,3
818,3,4,0,3,0,0,0
1596,3,4,0,3,708,3,2
1782,3,4,0,3,40000,3,3
1924,3,4,0,3,0,0,0
1649,0,-1,0.5,3,0,0,0
1924,0,-1,0.5,3,0,3,3
1670,9,-1,0.5,3,0,0,0
1687,9,-1,0.5,3,0,3,0
1512,0,1,0.5,3,3700,0,0
1886,1,1,0.5,3,0,0,0
1904,1,1,0.5,3,0,0,0
1922,1,1,0.5,3,0,0,0
1958,1,1,0.5,3,115,2,2
1853,6,1,0.5,3,1000,0,0
1878,6,1,0.5,3,0,1,0
1928,6,1,0.5,3,0,0,0
-138,0,2,0.5,3,0,0,0
1689,0,2,0.5,3,0,0,0
1747,0,2,0.5,3,0,1,0
1775,0,2,0.5,3,0,2,2
-590,1,2,0.5,3,0,0,0
1343,1,2,0.5,3,0,0,0
1680,1,2,0.5,3,0,2,3
1792,1,2,0.5,3,14524,3,4
1823,1,2,0.5,3,0,0,0
1901,1,2,0.5,3,0,2,1
1955,1,2,0.5,3,0,1,0
1963,6,2,0.5,3,15,2,0
1891,0,3,0.5,3,0,0,0
1732,1,3,0.5,3,0,3,3
1857,1,3,0.5,3,36,2,2
2014,1,3,0.5,3,0,1,0
1964,3,3,0.5,3,0,0,0
1408,1,4,0.5,3,0,3,0
1495,1,4,0.5,3,200,1,1
1715,1,4,0.5,3,0,1,1
1828,1,4,0.5,3,0,0,0
1861,1,4,0.5,3,1105,2,0
1861,1,4,0.5,3,0,0,0
1872,1,4,0.5,3,0,0,0
1889,1,4,0.5,3,0,0,0
1927,1,4,0.5,3,1,2,1
1931,1,4,0.5,3,256,4,0
1935,1,4,0.5,3,0,0,0
1941,1,4,0.5,3,0,2,3
1965,1,4,0.5,3,71,2,4
1968,1,4,0.5,3,0,0,0
1971,1,4,0.5,3,0,0,0
1983,1,4,0.5,3,0,2,0
1994,1,4,0.5,3,60,4,4
1996,1,4,0.5,3,9,2,3
